temp,rain,seed_type,yield
32.79,135.02,1,27.1604
24.9,295.35,0,49.2255
33.53,1349.05,0,77.184
31.81,144.5,0,20.4126
24.37,807.5,0,100.0
31.22,1102.43,1,97.0086
24.41,924.97,0,99.5006
35.18,323.52,1,57.5709
26.81,317.67,1,68.0925
22.04,631.9,1,100.0
36.95,945.22,0,76.721
34.59,850.72,1,91.0134
21.58,510.45,1,100.0
31.55,1086.4,0,87.4044
33.23,1182.3,0,81.2909
37.11,1313.08,1,79.7772
25.56,989.96,1,98.9205
23.25,597.38,1,100.0
34.04,1056.97,0,81.7696
32.18,339.59,0,49.8772
23.27,631.24,0,100.0
33.69,1279.99,0,78.1694
24.58,144.94,1,31.4037
28.02,192.66,1,41.7439
24.25,798.92,1,100.0
22.86,295.48,1,64.0212
34.94,699.81,1,90.1493
27.24,1496.26,0,88.0749
30.19,227.27,0,34.5599
37.22,313.98,0,33.7613
35.84,691.02,0,80.396
27.7,934.24,1,99.5891
30.58,1459.51,0,82.3541
33.61,260.37,1,50.5342
35.37,576.25,1,89.0701
28.7,735.21,1,100.0
39.44,1166.75,0,66.0707
37.41,517.82,0,76.4741
23.06,1167.52,0,94.6497
31.98,784.05,0,90.0528
38.58,1330.21,1,75.8825
24.79,437.22,0,84.3051
21.71,780.39,0,100.0
39.56,845.79,0,71.1008
22.57,765.4,0,100.0
25.3,1321.41,1,94.9431
39.29,1400.48,0,61.7723
34.26,658.59,1,91.8526
28.76,824.61,0,98.095
24.96,189.64,0,31.606
31.77,422.16,0,68.407
20.14,1090.98,0,96.1805
24.58,1367.59,1,94.3889
21.42,433.21,1,88.3111
24.28,285.24,1,61.8013
24.86,762.16,1,100.0
23.81,235.7,1,51.069
27.09,675.54,0,100.0
33.47,1477.83,0,74.7751
21.21,1119.5,0,95.61
24.97,366.29,1,76.6012
22.8,356.88,1,74.9546
25.0,1392.57,1,94.0891
36.16,1298.35,0,71.6318
21.01,1499.0,0,88.0201
39.38,1396.91,0,61.6119
23.33,779.9,0,100.0
37.29,1363.42,0,67.4991
27.58,1479.43,1,93.0468
38.53,1199.18,1,77.5839
28.46,1440.24,1,93.5171
23.1,515.39,0,100.0
31.58,859.07,1,98.541
21.14,917.85,0,99.643
21.14,810.96,0,100.0
21.37,195.15,0,32.5242
28.08,1418.23,0,89.4465
31.58,155.64,0,22.2268
28.38,917.14,1,99.7943
38.69,385.96,1,55.4089
24.77,654.1,1,100.0
29.14,1400.63,0,87.1263
20.19,969.62,0,98.6075
21.47,398.42,1,82.2228
22.65,588.61,0,100.0
37.59,617.34,0,76.0365
28.76,860.51,1,100.0
32.23,1482.13,0,77.7736
33.36,876.44,0,86.6068
38.78,288.01,0,27.3058
37.79,1139.38,0,70.7267
25.45,946.76,1,99.4389
24.07,987.93,1,98.9448
30.11,451.57,0,80.4807
21.85,693.01,1,100.0
20.88,566.98,0,100.0
32.74,466.74,1,87.6156
31.03,698.76,0,92.416
22.24,1423.07,0,89.5386
30.91,1268.43,0,85.3518
28.6,158.56,1,34.3548
37.98,1214.57,0,68.7595
37.98,394.11,0,44.1793
33.34,595.15,1,94.1533
39.48,1149.27,0,66.3228
37.29,1466.69,0,65.4359
37.63,134.7,1,21.4472
35.65,676.4,0,80.8807
25.34,1202.32,0,93.9535
27.65,154.21,1,33.4131
24.45,1243.22,1,95.8813
26.99,1248.75,0,93.025
24.46,1024.05,1,98.5114
26.57,1310.09,1,95.0789
27.02,813.17,1,100.0
38.78,261.48,1,39.0123
23.57,1447.55,1,93.4294
20.77,935.2,1,99.5776
34.57,539.15,0,83.5727
27.7,907.22,1,99.9133
20.89,710.48,0,100.0
27.28,197.96,1,42.8921
32.46,1028.74,0,86.2674
34.4,520.45,1,91.5123
33.34,556.66,1,94.1554
31.09,368.58,1,76.729
33.55,1363.93,1,88.067
28.12,1267.22,1,95.5934
25.74,701.84,1,100.0
29.3,719.02,0,96.7506
30.22,1211.23,0,88.2167
33.18,497.3,1,90.8607
21.87,1432.8,0,89.344
33.46,414.5,0,61.4656
22.95,164.7,1,35.6848
32.23,1175.89,1,93.6257
28.29,981.67,0,97.6445
34.37,637.57,1,91.5827
24.88,1018.48,0,97.6304
37.85,1304.62,0,67.2747
35.57,406.38,1,68.3364
21.0,448.88,0,87.2194
29.13,1221.98,1,96.1362
39.0,1348.0,1,74.6221
36.61,867.02,0,78.4715
34.87,764.54,1,90.3172
35.04,1275.81,1,85.4015
35.32,829.82,0,81.7093
25.49,208.48,1,45.17
24.69,570.19,0,100.0
22.77,423.77,0,80.9415
34.13,189.92,1,36.0002
26.62,752.29,0,100.0
24.14,688.2,0,100.0
37.13,1171.83,1,81.4014
29.54,1419.84,1,93.7619
35.07,1294.83,1,85.0883
30.76,1128.49,0,88.5192
29.76,482.11,1,96.8692
20.58,570.58,1,100.0
34.48,1276.71,0,76.2568
39.61,847.77,1,78.4639
31.84,1028.2,0,87.8414
32.85,289.98,1,58.167
23.63,464.22,1,93.7383
24.23,557.58,1,100.0
25.57,1431.69,1,93.6198
25.05,214.67,0,35.7781
34.98,172.92,1,31.5007
24.48,196.07,0,32.6776
35.08,1429.46,0,71.6992
36.78,969.87,0,76.6412
22.52,1037.24,0,97.2552
29.3,458.74,1,92.7797
23.36,950.15,0,98.9971
35.56,329.27,1,57.3439
22.16,135.95,1,29.4558
31.52,1371.24,1,93.0553
27.93,1101.02,0,95.9796
31.84,1262.8,0,83.1391
22.04,1181.47,0,94.3705
35.92,892.31,0,80.1886
26.94,699.73,1,100.0
21.38,1006.56,0,97.8688
36.99,1251.26,0,70.496
28.67,607.06,1,100.0
34.15,709.68,1,92.1346
32.32,1387.46,1,90.8548
29.3,1256.03,1,95.7277
26.45,443.69,0,85.9233
25.58,731.12,1,100.0
31.4,1035.46,1,97.382
20.57,1291.33,0,92.1733
29.75,596.75,1,100.0
26.81,1332.45,1,94.8106
31.12,823.28,0,92.2104
21.71,1108.1,1,97.5027
31.1,436.45,1,88.5113
32.92,787.15,0,87.7049
21.86,410.23,0,77.5587
26.12,914.18,1,99.8299
31.07,581.26,1,99.8264
27.04,735.24,1,100.0
25.03,268.92,0,44.8197
26.31,1140.03,0,95.1993
23.83,1134.05,1,97.1914
34.49,1467.25,1,84.4638
39.61,1265.68,1,74.0863
24.55,351.22,0,62.8045
34.16,277.22,0,34.8177
39.49,874.7,0,71.2853
32.76,1153.91,0,83.0283
37.45,903.69,1,83.8197
29.57,576.99,0,96.0643
25.05,1306.41,0,91.8718
36.44,660.99,0,78.8942
31.54,1061.03,0,87.9283
22.98,887.98,1,100.0
21.7,447.47,1,90.8068
32.13,1207.04,0,83.5434
35.51,632.53,1,88.7153
25.95,923.94,1,99.7128
26.11,969.44,0,98.6112
38.95,390.9,0,40.8666
25.29,213.66,0,35.6104
23.48,205.09,0,34.1818
28.17,1065.12,1,98.0186
25.83,424.07,1,86.7117
34.06,735.64,0,84.8506
38.48,1202.96,0,67.7453
28.5,862.39,0,98.7431
38.17,1257.28,0,67.4338
21.19,1209.68,1,96.2838
28.78,756.18,1,100.0
33.99,1419.75,1,86.2764
28.76,937.25,1,99.553
34.69,945.2,0,82.3693
21.83,1446.68,0,89.0665
39.99,1041.19,1,75.827
31.52,1168.35,0,85.8206
29.41,1012.11,1,98.6546
23.63,919.46,1,99.7665
39.38,758.01,1,79.0472
26.67,1038.19,0,97.2363
26.6,1071.14,1,97.9463
33.25,660.63,0,86.8708
29.1,540.32,1,100.0
22.32,1181.57,0,94.3687
33.15,859.63,1,94.617
21.08,825.82,1,100.0
32.51,1163.99,0,83.4498
25.34,283.42,1,61.4073
28.76,1077.55,0,94.5432
20.58,982.03,0,98.3594
34.2,535.05,0,84.5109
31.05,230.49,0,33.7364
29.23,264.45,0,41.9088
29.97,1103.24,1,97.5611
28.31,775.5,1,100.0
24.87,871.77,1,100.0
23.81,939.13,0,99.2174
37.28,486.75,1,73.1411
26.8,1202.8,1,96.3663
36.41,495.97,1,77.8041
36.75,911.89,1,85.4835
37.31,725.17,1,84.237
26.9,872.68,1,100.0
29.11,550.49,0,97.2328
39.62,434.33,1,58.006
24.67,1185.76,0,94.2848
26.36,762.17,1,100.0
27.72,1029.16,0,97.4167
29.91,151.83,1,32.8959
37.39,1323.87,1,78.9286
21.99,1374.62,0,90.5076
34.45,673.97,0,83.8778
21.5,1194.14,1,96.4704
26.77,1069.79,0,96.6043
37.04,1293.28,1,80.1924
39.08,977.52,1,78.8628
37.45,150.26,0,15.5792
24.7,1058.16,1,98.1021
39.95,1145.47,1,74.683
39.57,1164.52,0,65.7928
28.87,1071.6,0,94.384
20.92,1214.6,1,96.2248
27.17,702.96,0,100.0
30.62,892.3,0,93.4417
23.4,210.56,1,45.6204
32.39,437.16,0,69.4748
24.64,993.07,1,98.8832
25.11,113.16,1,24.5172
38.02,1048.66,0,71.9664
21.48,1423.33,1,93.72
32.78,694.03,1,95.5531
29.14,522.97,1,100.0
37.07,249.31,1,40.9097
31.44,904.74,1,98.847
20.44,1262.05,1,95.6554
25.49,892.3,0,100.0
38.21,1143.24,1,79.0503
35.51,422.17,1,70.7796
24.38,366.18,1,76.5823
33.56,1109.3,0,81.9258
32.56,1364.77,0,79.2923
26.18,717.15,1,100.0
34.65,226.19,1,41.8576
26.53,681.7,0,100.0
22.64,855.17,1,100.0
30.62,1378.88,0,83.8797
25.14,1254.57,1,95.7452
39.35,513.2,1,79.1308
36.08,755.66,0,79.7884
22.82,1453.1,1,93.3628
39.35,1226.42,1,75.2194
21.81,652.4,1,100.0
30.73,736.7,1,100.0
31.69,1251.38,1,94.0554
22.17,427.35,0,81.8377
32.39,1420.44,1,90.2774
38.31,409.91,0,45.5415
32.71,749.97,1,95.7298
32.98,263.35,0,35.1395
38.93,526.11,1,80.1869
22.32,428.72,0,82.18
27.77,619.42,1,100.0
31.75,1117.24,1,95.5261
33.1,1267.17,1,90.3479
38.78,491.64,1,67.8676
24.35,722.57,0,100.0
37.11,239.1,1,39.1453
30.89,1468.98,1,93.1722
21.21,486.23,0,96.5585
38.98,1253.87,0,65.4721
33.26,998.39,0,84.8938
21.01,566.91,0,100.0
35.74,387.29,0,49.5871
31.73,1238.27,0,83.9154
26.57,306.58,0,51.644
25.55,1477.64,0,88.4472
